jawaban_mahasiswa,jawaban_dosen,human_rater,human_rater_scaled
komputer menggunakan layanan tersedia jaringan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,20,0.2
fundamental centralized infrastructure,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,20,0.2
hubungan komponen jaringan berkomunikasi,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,30,0.3
client server jaringan komunikasi client server komputer client menyediakan informasi software dibutuhkan client nya komputer client mempunyai akses untuk mengambil informasi tersedia komputer server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,40,0.4
client server jaringan 2 buah cliet 1 server satu jaringan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,40,0.4
client server pengguna jaringan membutuhkan menginginkan informasi client server meminta informasi server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,40,0.4
client server penyedia layanan jaringan network pengguna client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,40,0.4
client pengguna server pusat punya sistem,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,40,0.4
pengguna penyedia internet,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,50,0.5
client server host me request data host berfungsi server jaringan client mengirmkan ip address server tujuan ip masuk kedalam dns server berfungsi memeriksa alamat ip dikirimkan olek client terdaftar jaringan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
clien server pihak pihak bertindak server client bersifat client meminta layanan ketka bertindak server tugasnya untuk melayani memberikan diperintahkan client jadi keterkaitan fungsinya,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client server computer maksudnya dasar sumber melakukan pengiriman data terjadi proses awalnya client me request server client mendapatkan respon feedback jawaban request dikirimkan server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client server jaringan computer host berfungsi menyediakan layanan service jaringan memberikan request berhubungan jaringan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client host memberi request server jaringan computer server host menerima request menjawab request client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client server salah satu metode berkomunikasi jaringan memanfaatkan device satu pemilik sumber daya device konsumen sumber daya,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client server jaringan metode menghubungkan langsung client servernya network client meminta data langsung servernya,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client perangkat menerima informasi menjalankan aplikasi server pusat pengendali data aplikasi keamanan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client server jaringan komputer dua entitas mengirimkan menerima menyediakan data jaringan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client server model aplikasi terdistribusi membagi tugas penyedia layanan meminta layanan,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
komunikasi client server jaringan komputer komunikasi dua arah dimana client berperan peminta informasi server penyedia informasi,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60,0.6
client server metode pentransferan konten dimana pembagian konten haya terfokus end device server server membagikan kontennya client meminta konten client meminta memperoleh server banyaknya client mempengaruhi kecepatan transfer konten,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,70,0.7
client hardware penerima server hardware menyediakan informasi fungsi fungsi diakses client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,70,0.7
client server relasi terjalin jaringan client server terjadi server server berupa web file mail server client server dikenal user perangkat komputer smartphone user meminta akses untuk menjalin koneksi meminta mengirim data server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,70,0.7
client server model jaringan komputer dimana server penyedia resource client sisi melakukan request resource dimiliki server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,70,0.7
client merequest data dimana server penyedia data tempat data tersimpan untuk client server sistem relasi pengguna client penyedia data server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,70,0.7
server device bertindak database file diupload tersimpan server client mendownload men download data nya server contoh server website berisi file file website tsb tampilannya data data download dll berkontribusi meng upload data mengubah website tersimpan server website tsb membuka website tsb mendapat mendownload tampilan websitenya server,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client host memungkinkan untuk melakukan request server host memiliki software mengenai informasi dibutuhkan client client server protocol dimana mengatur transfer file client server client mengirimkan request server server mengirimkan balasan berupa informasi diminta client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client perangkat mengakses meminta layanan informasi jaringan ditampilkan user server perangkat berguna untuk menyediakan layanan informasi diminta client server sumber data informasi diakses client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
client server salah satu model jaringan dimana device bertindak client device bertindak server device bertindak client berfungsi untuk mengirimkan request server mengakses mengolah data dimiliki server device bertindak server berfungsi untuk mengirimkan balasan request dikirimkan client menyimpan data data berhak diakses client,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80,0.8
